LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-117.7675342,33.7423217,5,EASTHAVEN,,,,,,,c7a251745a58a70b
-117.7724439,33.7422296,23,CARRIAGE DR,,,,,,,609e16362ff4c54c
-117.7718401,33.7418101,8,CARRIAGE DR,,,,,,,8dbbea2161bd809c
-117.7714386,33.7415616,15,ROBINS TREE LN,,,,,,,0036fa0baf34a240
-117.7696001,33.7415091,54,COPPERLEAF,,,,,,,60a3d5fff6ca658b
-117.773312,33.74118,17,ELIZABETH LN,,,,,,,a34ecbae545eb2f1
-117.7699228,33.7412291,60,COPPERLEAF,,,,,,,e3b860e32ce8dde5
-117.7687951,33.7411929,35,COPPERLEAF,,,,,,,7d520926548cf275
-117.7726839,33.741124,45,CARRIAGE DR,,,,,,,14699e9ac474bc16
-117.7694945,33.7408539,41,WINTERFIELD RD,,,,,,,da344072364ceed0
-117.7700094,33.740618,67,COPPERLEAF,,,,,,,1518cd619cb53ce7
-117.7700088,33.7402106,29,WINTERFIELD RD,,,,,,,0871860d78db4889
-117.7690556,33.7402087,9,WINDARBOR LN,,,,,,,14c946c8eb87bad7
-117.7714961,33.739338,65,BRIAR LN,,,,,,,551efc4f86c42d4b
-117.7673285,33.7456528,36,MILLGROVE,,,,,,,358cbd5ef78aa15a
-117.7679915,33.7456315,41,MILLGROVE,,,,,,,240ff57efc42931d
-117.7666044,33.7455867,28,AMBERHILL,,,,,,,00bf288dc339cfcc
-117.769058,33.7454825,51,BRADFORD,,,,,,,3c3523ee224b3d9b
-117.7670078,33.7448469,28,HILLSDALE,,,,,,,a0fe573047f0dfa1
-117.7666199,33.7445783,12,AMBERHILL,,,,,,,1f9171e3f1d9e6dc
-117.7690474,33.7439923,27,BELLEVUE,,,,,,,c637511f238b78e3
-117.7683416,33.743429,38,LANGFORD,,,,,,,29bcc940fc18539e
-117.7676193,33.7433528,11,APPLETON,,,,,,,8b03e9fee1a4a218
-117.7680477,33.7432265,39,KENTWORTH,,,,,,,c2bf32b51d17abed
-117.7679427,33.7427969,34,KENTWORTH,,,,,,,f922f388e30a8307
-117.7709089,33.7426759,51,LINHAVEN,,,,,,,4e2dcd238ea8957d
-117.7698009,33.7423757,40,LINHAVEN,,,,,,,f2b9c82bf14811ac
-117.7679188,33.7419962,6,EASTHAVEN,,,,,,,b4006501e04311c4
-117.7713464,33.7419228,3,CARRIAGE DR,,,,,,,4affe1eb08ce1760
-117.7698474,33.7418636,32,BROOKHOLLOW,,,,,,,827dec201795922e
-117.7686928,33.7415824,40,COPPERLEAF,,,,,,,d38205ff41d2de29
-117.7702483,33.7414927,24,BROOKHOLLOW,,,,,,,fb59d2965b59cd4d
-117.7688846,33.7412854,37,COPPERLEAF,,,,,,,3c70734dc7602c88
-117.7737094,33.7408984,23,ELIZABETH LN,,,,,,,fae5be3ae79ced0a
-117.7713066,33.7409285,5,BROOKHOLLOW,,,,,,,843b4dac7b12d9d3
-117.7714027,33.7408372,3,BROOKHOLLOW,,,,,,,50c451890d9b917a
-117.7734817,33.7405564,24,ELIZABETH LN,,,,,,,061f4a257c2a4a19
-117.7716405,33.7405151,89,BRIAR LN,,,,,,,801c7f2785a649f4
-117.7697896,33.7405327,35,WINTERFIELD RD,,,,,,,3018821b7370c94c
-117.7701301,33.7392602,7,CAMEO CT,,,,,,,6660d024259f2399
-117.768897,33.7456449,57,BRADFORD,,,,,,,22a28b61ac65b696
-117.7663783,33.7453055,22,AMBERHILL,,,,,,,614515fea8865b1d
-117.769227,33.7450659,95,ARDMORE,,,,,,,3f95713adfed82a3
-117.768492,33.7445511,71,BELLEVUE,,,,,,,a004ba89efbdc3ed
-117.7673309,33.7440405,11,KIRKLAND,,,,,,,8eadc90999e2dafa
-117.7681163,33.7437205,21,APPLETON,,,,,,,b8553d13063e7b2a
-117.7701955,33.7435322,2,ARDMORE,,,,,,,6fce61b7c7ff89ec
-117.7709471,33.7431542,60,LINHAVEN,,,,,,,452d184a772433dd
-117.7690531,33.7427842,24,EASTHAVEN,,,,,,,ec9c757896c820d7
-117.7711967,33.7425658,81,LINHAVEN,,,,,,,76cda63dbf076e7d
-117.770028,33.7425296,44,LINHAVEN,,,,,,,d8b2b5910f1c015d
-117.7699158,33.7424539,42,LINHAVEN,,,,,,,4d0de1fbd297dbef
-117.7703374,33.7422878,41,LINHAVEN,,,,,,,f647b09000117f7f
-117.7707452,33.7422509,89,LINHAVEN,,,,,,,8d17c7ea5559165d
-117.7727254,33.7419476,29,CARRIAGE DR,,,,,,,87d5eebccf76655a
-117.7722076,33.7419173,24,CARRIAGE DR,,,,,,,bcf9f1555059b92c
-117.7717296,33.7417332,6,CARRIAGE DR,,,,,,,99f8a896f15ad8dd
-117.7687971,33.7416701,42,COPPERLEAF,,,,,,,dffa90a7e41502ca
-117.7707334,33.7414957,19,BROOKHOLLOW,,,,,,,b618d9d74053569b
-117.7728007,33.7412055,43,CARRIAGE DR,,,,,,,9dd875f2ba403f5e
-117.7725729,33.7410469,47,CARRIAGE DR,,,,,,,49422b617745b206
-117.7712079,33.7410244,7,BROOKHOLLOW,,,,,,,e7c9106cac12b56a
-117.773805,33.7407899,25,ELIZABETH LN,,,,,,,208fe6c4f982f965
-117.7690223,33.7406405,10,HOLLYHOCK DR,,,,,,,56309ec9b74b59a5
-117.7682307,33.7458178,45,MILLGROVE,,,,,,,7e585bcc2aed79c9
-117.7674689,33.7457308,38,MILLGROVE,,,,,,,b5cb3d15e21812f2
-117.7663429,33.7454459,24,AMBERHILL,,,,,,,7246ec4daa2b9966
-117.7684532,33.7453349,33,BRADFORD,,,,,,,e176f3d0100ef239
-117.770161,33.7444614,39,ARDMORE,,,,,,,31f4748d26766537
-117.7705299,33.7440898,15,ARDMORE,,,,,,,698b684587a3412e
-117.7671892,33.7434884,6,KIRKLAND,,,,,,,73b04fc48584be45
-117.7700005,33.7433967,10,ARDMORE,,,,,,,3c87f93f0f2f9e76
-117.767305,33.7431338,7,APPLETON,,,,,,,1922ae3ad6e526f3
-117.7684829,33.7428113,31,KENTWORTH,,,,,,,bad4c44ae231e20d
-117.7701458,33.7426099,46,LINHAVEN,,,,,,,f3638b3a24dfbc27
-117.7716179,33.7424024,80,LINHAVEN,,,,,,,b8a3bb1b38e26d4b
-117.7714629,33.7420042,5,CARRIAGE DR,,,,,,,a57c5ae51c986d02
-117.7710054,33.7419961,21,ROBINS TREE LN,,,,,,,868f488797d82595
-117.7707059,33.7418064,22,ROBINS TREE LN,,,,,,,9b50cca2402a2cd2
-117.7706381,33.7415895,21,BROOKHOLLOW,,,,,,,2c90d92febaa7a17
-117.773186,33.7413931,39,CARRIAGE DR,,,,,,,c95e441bbea6b5a8
-117.7710871,33.7414187,14,ROBINS TREE LN,,,,,,,afc24e342f616e29
-117.7721218,33.741263,14,HIDDEN BROOK,,,,,,,7c719e521182d988
-117.7724561,33.7409654,49,CARRIAGE DR,,,,,,,01457ff4af9a013b
-117.7696788,33.7409808,61,COPPERLEAF,,,,,,,7462cc8915710f0e
-117.7709134,33.7408199,10,BROOKHOLLOW,,,,,,,928ad82d846be3dc
-117.7696904,33.7406458,37,WINTERFIELD RD,,,,,,,30a5cba8ca8cc305
-117.7722732,33.7404271,12,IVY LN,,,,,,,29673bb445506f54
-117.7733084,33.7404053,34,ELIZABETH LN,,,,,,,c5ad588125700941
-117.7737258,33.7402454,33,ELIZABETH LN,,,,,,,f3068cfabf677f28
-117.7735647,33.7392872,21,TRADITION PL,,,,,,,8fa389c069b8c157
-117.7669274,33.7456437,32,AMBERHILL,,,,,,,3c28a41d7c947d8a
-117.7682311,33.7451944,15,BRADFORD,,,,,,,cec09fa90c3aa2cb
-117.7686125,33.7451727,27,BRADFORD,,,,,,,7eedb92d65b62ca1
-117.7665578,33.7447559,14,AMBERHILL,,,,,,,42c73c9d078001bf
-117.7698159,33.7438977,34,ARDMORE,,,,,,,d0fe958cbf0f8d3d
-117.7686768,33.7436492,37,LANGFORD,,,,,,,b607e0264f3e0119
-117.7698049,33.7435847,22,ARDMORE,,,,,,,f86d4d13720bde89
-117.7712805,33.7432324,64,LINHAVEN,,,,,,,a2861102ea497ad3
-117.7713733,33.7426793,71,LINHAVEN,,,,,,,ea8f8a1c90aa74fe
-117.7721587,33.7424742,19,CARRIAGE DR,,,,,,,bfed740953b16b9a
-117.7710832,33.7424866,83,LINHAVEN,,,,,,,f2f50f4ebb75c5d6
-117.7719145,33.7423191,15,CARRIAGE DR,,,,,,,3e48801c48731a49
-117.7728227,33.7418503,31,CARRIAGE DR,,,,,,,0564a04c9d6f9d0a
-117.7692456,33.7417594,48,COPPERLEAF,,,,,,,121ff97ef98eab89
-117.7708033,33.7417103,20,ROBINS TREE LN,,,,,,,6ddf77138a94f614
-117.7716126,33.7416514,2,CARRIAGE DR,,,,,,,1596465be19f2043
-117.7724596,33.7414986,20,HIDDEN BROOK,,,,,,,8981b66664390e71
-117.7710161,33.7412116,11,BROOKHOLLOW,,,,,,,c1a3c13095641a90
-117.769588,33.7410761,59,COPPERLEAF,,,,,,,4af49eb67213f8db
-117.7736116,33.7410085,21,ELIZABETH LN,,,,,,,e6e6d3ea3b09ab03
-117.7727849,33.7408537,7,ELIZABETH LN,,,,,,,64c6ecc9e6a510e0
-117.7721698,33.7405308,14,IVY LN,,,,,,,d901d3491b826ddd
-117.771381,33.7403453,85,BRIAR LN,,,,,,,c20bff8dbb634ea3
-117.7692825,33.7403727,15,WINDARBOR LN,,,,,,,b524887a0821e31b
-117.7710179,33.7391867,9,WINTERFIELD RD,,,,,,,2608f869091fc85d
-117.7678331,33.7460046,44,MILLGROVE,,,,,,,e011f99855e258f6
-117.7669715,33.7452977,31,AMBERHILL,,,,,,,e33cb09933bf1813
-117.7683897,33.745031,21,BRADFORD,,,,,,,cfa9be74a675786b
-117.7686807,33.7443595,51,BELLEVUE,,,,,,,1d4d418dda03ef23
-117.7701563,33.7441347,27,ARDMORE,,,,,,,ec506f7e3f7121df
-117.7704202,33.7436889,1,ARDMORE,,,,,,,54bff41815a21891
-117.7687961,33.7435302,35,LANGFORD,,,,,,,a450de0aa673b18d
-117.7692259,33.7430477,27,LANGFORD,,,,,,,2a1cf10b548e2f08
-117.7683654,33.7429051,33,KENTWORTH,,,,,,,3d8c209b9c4f1f0d
-117.7673264,33.7425887,2,APPLETON,,,,,,,084088dd6811488a
-117.7679332,33.742452,9,EASTHAVEN,,,,,,,c0d062caaef0dc38
-117.7725361,33.7421375,25,CARRIAGE DR,,,,,,,2c7bed15e718fff1
-117.7711597,33.7420832,88,LINHAVEN,,,,,,,245cfd929de4d613
-117.769964,33.7417784,30,BROOKHOLLOW,,,,,,,942f56b94236527f
-117.7700532,33.7416807,28,BROOKHOLLOW,,,,,,,68364fb1bb2ddf7b
-117.7697108,33.7414241,56,COPPERLEAF,,,,,,,441590adee7429ee
-117.7729111,33.7412827,41,CARRIAGE DR,,,,,,,a55c566cb0846b7a
-117.7690724,33.741107,5,HOLLYHOCK DR,,,,,,,09bcee25ebe1fc77
-117.7682756,33.7410624,30,COPPERLEAF,,,,,,,bf6e3125487a23f4
-117.7698646,33.7407952,65,COPPERLEAF,,,,,,,81c5c22bad4e274e
-117.7739122,33.7406435,27,ELIZABETH LN,,,,,,,bc351fd20c886058
-117.769424,33.7404315,17,WINDARBOR LN,,,,,,,c72ef39656ce8cd0
-117.7685326,33.740338,18,COPPERLEAF,,,,,,,841eddbfce341c75
-117.7717689,33.7400009,94,BRIAR LN,,,,,,,a749ac8ab04b8675
-117.7693304,33.7399824,12,WINDARBOR LN,,,,,,,858d4f04e00b6a89
-117.7700446,33.7393655,5,CAMEO CT,,,,,,,de87936c9440fc90
-117.7744965,33.7390891,11,NATIONAL PL,,,,,,,e1782c58debc16ea
-117.7677393,33.7454555,37,MILLGROVE,,,,,,,d3ebd00ffbfb8122
-117.7688877,33.7448282,64,ARDMORE,,,,,,,fe4bfff9f3856780
-117.7667605,33.7444693,10,AMBERHILL,,,,,,,234afc39bef35a17
-117.769241,33.7441282,33,BELLEVUE,,,,,,,966242af671b3d64
-117.770613,33.7438269,7,ARDMORE,,,,,,,cdf535f30f9c034c
-117.7689211,33.7434239,33,LANGFORD,,,,,,,bdcb12fe2a27a60e
-117.7715479,33.7430535,68,LINHAVEN,,,,,,,5eac6fa0cbf27ade
-117.7677159,33.7430004,38,KENTWORTH,,,,,,,9d2cdea0da4b9432
-117.7719447,33.7426708,74,LINHAVEN,,,,,,,2841e35abc3ba884
-117.7677179,33.7423962,7,EASTHAVEN,,,,,,,79ed6d1a52f87924
-117.7706286,33.7421695,91,LINHAVEN,,,,,,,a67a74e92bc7508f
-117.7696711,33.7421155,36,BROOKHOLLOW,,,,,,,3778e038c020d0dd
-117.7722993,33.741825,26,CARRIAGE DR,,,,,,,c8ce5f2b6db9f55a
-117.7694911,33.7415877,52,COPPERLEAF,,,,,,,7bc8f75159bb7b8c
-117.7716432,33.741366,9,ROBINS TREE LN,,,,,,,a185d81215f19841
-117.7709275,33.7413075,15,BROOKHOLLOW,,,,,,,4a29758785f7a76e
-117.7682653,33.7411858,32,COPPERLEAF,,,,,,,7bb125d10c2ad5ea
-117.7723461,33.7408885,51,CARRIAGE DR,,,,,,,0aedbd7afceaf986
-117.7719404,33.7407639,18,IVY LN,,,,,,,1c715ec9df07fad1
-117.7704897,33.7406849,5,COUNTRYSIDE DR,,,,,,,0560463374a92ffb
-117.7739417,33.7405098,29,ELIZABETH LN,,,,,,,82ea84c462dbb086
-117.7730293,33.7401975,38,ELIZABETH LN,,,,,,,25a1d5cce554df2c
-117.7709817,33.7400159,79,BRIAR LN,,,,,,,d49d2d7aa71316c5
-117.7714351,33.7399548,72,BRIAR LN,,,,,,,cd1ed6afa2fd84b9
-117.7694033,33.7393265,26,AMORET DR,,,,,,,1d4045b5f0f32cb2
-117.7709217,33.7392783,11,WINTERFIELD RD,,,,,,,d2b36c45daf9dc46
-117.7705469,33.739147,2,AMORET DR,,,,,,,8c0f2643994288c8
-117.7682373,33.7463903,50,MILLGROVE,,,,,,,aa87a0d6b7e90d80
-117.7664408,33.7451801,20,AMBERHILL,,,,,,,e87106ec9c20c13e
-117.7673813,33.7451228,34,HILLSDALE,,,,,,,3f129ed40ea2453e
-117.7695996,33.7446936,71,ARDMORE,,,,,,,cd2ce51d7894792a
-117.7678862,33.7439519,16,KIRKLAND,,,,,,,52fe91a61e06c70f
-117.7671926,33.7439524,9,KIRKLAND,,,,,,,8b2fcb3d50fdf3ec
-117.7694178,33.7436208,1,BELLEVUE,,,,,,,5247bc49249e5c33
-117.7687765,33.7430143,30,LANGFORD,,,,,,,a9eaef2850b1929a
-117.7716567,33.7429722,70,LINHAVEN,,,,,,,58c7ed5110a93789
-117.7675861,33.7427803,8,APPLETON,,,,,,,b6133c05d20a1ea3
-117.7715011,33.742321,82,LINHAVEN,,,,,,,6d6dc4ebbfa7e256
-117.7684329,33.7423349,14,EASTHAVEN,,,,,,,f19f9ff744fc11a5
-117.7681708,33.7421724,10,EASTHAVEN,,,,,,,4d2aa5ab5e94d286
-117.770543,33.7416864,23,BROOKHOLLOW,,,,,,,579c5d00e5b5e8a4
-117.7720195,33.7416487,17,HIDDEN BROOK,,,,,,,4b79a605cf0621ee
-117.7731294,33.7415147,37,CARRIAGE DR,,,,,,,da278eb0aa63f827
-117.7705334,33.741207,18,BROOKHOLLOW,,,,,,,48e455142e9a2839
-117.7720048,33.7411816,12,HIDDEN BROOK,,,,,,,06d20a7bff7b33cf
-117.768686,33.7410973,33,COPPERLEAF,,,,,,,4388c782ad5dab15
-117.7710116,33.7407241,8,BROOKHOLLOW,,,,,,,45c46dbe43b76ad3
-117.7725321,33.7406777,3,ELIZABETH LN,,,,,,,3fd2569518138f07
-117.7718076,33.7405615,91,BRIAR LN,,,,,,,169a2591ebaaf2dd
-117.7735965,33.7401343,35,ELIZABETH LN,,,,,,,116e43017b0b541b
-117.7677192,33.7459076,42,MILLGROVE,,,,,,,a1e52e2ff9b4b3e6
-117.7670943,33.7456695,34,AMBERHILL,,,,,,,6e375ddd6cce0380
-117.7686834,33.7454958,39,BRADFORD,,,,,,,ee411a014165c020
-117.7697852,33.7445064,51,ARDMORE,,,,,,,974bfdee163b34db
-117.7699657,33.7443257,45,ARDMORE,,,,,,,62f81589d0a0dfd1
-117.7688616,33.7441799,45,BELLEVUE,,,,,,,4257514353541cac
-117.7678718,33.7435323,17,APPLETON,,,,,,,510de35b1eb06fed
-117.7670124,33.7433887,2,KIRKLAND,,,,,,,e0273201ac09454c
-117.7674473,33.7432397,9,APPLETON,,,,,,,159eabe453789a6b
-117.7680316,33.7426839,32,KENTWORTH,,,,,,,ffebbcedb5e04a2a
-117.7681507,33.7425852,30,KENTWORTH,,,,,,,6daa97b393d15a2d
-117.7686711,33.7425207,18,EASTHAVEN,,,,,,,22ab34d2ab8ebc56
-117.7680539,33.7420707,8,EASTHAVEN,,,,,,,79c45d558486f7df
-117.7697557,33.7419557,34,BROOKHOLLOW,,,,,,,347b4f68bcd36c3a
-117.7677945,33.7419009,2,EASTHAVEN,,,,,,,57c3285d4919d6e5
-117.76859,33.7414973,38,COPPERLEAF,,,,,,,7a1f581cff4d4c68
-117.7708294,33.7414035,17,BROOKHOLLOW,,,,,,,aa9cd7c77e61ed89
-117.769834,33.7413249,58,COPPERLEAF,,,,,,,e09499e5ff358a4c
-117.7707196,33.741014,14,BROOKHOLLOW,,,,,,,98cb0ebff05d5bea
-117.7694129,33.7409543,43,WINTERFIELD RD,,,,,,,9db3d312504ccf23
-117.7697727,33.7408851,63,COPPERLEAF,,,,,,,60667d5bc965f66d
-117.7684325,33.7405702,22,COPPERLEAF,,,,,,,fdfde3100046a369
-117.7698662,33.7404297,33,WINTERFIELD RD,,,,,,,5a5c3ebf3a231641
-117.7723968,33.7403031,10,IVY LN,,,,,,,12abce533757be20
-117.7697347,33.7399691,37,AMORET DR,,,,,,,95b0c95c7eb76892
-117.7692148,33.7399057,10,WINDARBOR LN,,,,,,,a95aba5bb657981f
-117.7679721,33.7460843,46,MILLGROVE,,,,,,,9ca67b26458ea564
-117.7667655,33.7456304,30,AMBERHILL,,,,,,,2424ea6d02c7ad7e
-117.7662909,33.745597,26,AMBERHILL,,,,,,,ba5e40d0109cb383
-117.7699805,33.7446421,57,ARDMORE,,,,,,,b29e45c908f27547
-117.7668786,33.744345,8,AMBERHILL,,,,,,,decb5bd320783c98
-117.7694453,33.7442688,46,ARDMORE,,,,,,,7a0c71b55e2f1e14
-117.7679896,33.7436342,19,APPLETON,,,,,,,cff298cce479d787
-117.7690302,33.7432977,31,LANGFORD,,,,,,,a8a7d04318acad0f
-117.7711366,33.7432365,62,LINHAVEN,,,,,,,99cf9015b59b4f6c
-117.7689294,33.7427005,22,EASTHAVEN,,,,,,,dbb35f94823456ee
-117.7706793,33.7425195,47,LINHAVEN,,,,,,,f6f1b206480e1228
-117.7717307,33.7424829,78,LINHAVEN,,,,,,,44ace1069a23fa6c
-117.7705175,33.7420926,93,LINHAVEN,,,,,,,5f8fe237f3584192
-117.7702903,33.7419337,97,LINHAVEN,,,,,,,64631c555395bdb2
-117.7719573,33.7418917,10,CARRIAGE DR,,,,,,,24e6e170f5c005e0
-117.7717916,33.7414903,11,HIDDEN BROOK,,,,,,,ec3c855323f0577f
-117.7684912,33.7413928,36,COPPERLEAF,,,,,,,8daa3cc89ba16c23
-117.7722323,33.7413401,16,HIDDEN BROOK,,,,,,,d5552921788d5a06
-117.7701219,33.7410459,64,COPPERLEAF,,,,,,,47140c983f24feba
-117.7708191,33.7409124,12,BROOKHOLLOW,,,,,,,9c7f6bd82f9bde6e
-117.768834,33.7409279,9,HOLLYHOCK DR,,,,,,,4665f8c688d58d06
-117.7729514,33.7405071,6,ELIZABETH LN,,,,,,,a7ce0fbab38b93f9
-117.7689037,33.74057,12,HOLLYHOCK DR,,,,,,,601ea2c0e670f375
-117.7738284,33.7403536,31,ELIZABETH LN,,,,,,,4030a0e1645a3151
-117.7719744,33.7403511,93,BRIAR LN,,,,,,,52f2bf1765dabb66
-117.7733467,33.7399696,39,ELIZABETH LN,,,,,,,a3202f2a0232b34c
-117.7692912,33.739254,24,AMORET DR,,,,,,,da816ad001ecbdf9
-117.7681094,33.745731,43,MILLGROVE,,,,,,,b51417540093382c
-117.7676011,33.7453772,35,MILLGROVE,,,,,,,2b45717237936e9d
-117.7671375,33.7449372,30,HILLSDALE,,,,,,,212ed2166ea35a79
-117.7692586,33.7444566,52,ARDMORE,,,,,,,494f6b8c822fb01d
-117.7680039,33.7440537,18,KIRKLAND,,,,,,,069eea15518eff15
-117.7670085,33.7438741,7,KIRKLAND,,,,,,,de993a765e341ca0
-117.7696116,33.743449,16,ARDMORE,,,,,,,5b96805752037e76
-117.7691465,33.7431752,29,LANGFORD,,,,,,,fd9ab34fa4ef2617
-117.7717378,33.7428641,72,LINHAVEN,,,,,,,d9792ea6ff0f7d6c
-117.7707971,33.7425999,49,LINHAVEN,,,,,,,c3da411adc5dab84
-117.7720326,33.7423944,17,CARRIAGE DR,,,,,,,12bb1a0c4da940bf
-117.768295,33.7422566,12,EASTHAVEN,,,,,,,d4f72fce92091053
-117.7704008,33.7420108,95,LINHAVEN,,,,,,,61b89a7042bd6e7e
-117.7729145,33.741758,33,CARRIAGE DR,,,,,,,b75b8b6d72b8c7b5
-117.7719026,33.7415674,15,HIDDEN BROOK,,,,,,,64cc518532ff4614
-117.769104,33.7414448,41,COPPERLEAF,,,,,,,42b9771fe5a23b0a
-117.7693145,33.741283,1,HOLLYHOCK DR,,,,,,,d711dd2e694086b3
-117.771119,33.7411158,9,BROOKHOLLOW,,,,,,,9015201eada7381d
-117.7715514,33.7409445,2,ROBINS TREE LN,,,,,,,ac7196d72ab5ddb5
-117.7687223,33.7408546,11,HOLLYHOCK DR,,,,,,,9ff9adee6f6db006
-117.77015,33.7406731,71,COPPERLEAF,,,,,,,9d598c6fd60ba082
-117.772827,33.7404207,2,ELIZABETH LN,,,,,,,6e71b2c4a73e47c5
-117.7712568,33.7402587,83,BRIAR LN,,,,,,,edb22fb52ba108e8
-117.7734728,33.7400512,37,ELIZABETH LN,,,,,,,4fcc1ea521a2478a
-117.7748405,33.739873,2,TRADITION PL,,,,,,,36d02f93b72c2e47
-117.7746242,33.739178,9,NATIONAL PL,,,,,,,3f7f78c720e906d4
-117.7695917,33.7392079,2,CAMEO CT,,,,,,,aa117da613d7ea7d
-117.7671318,33.745326,33,AMBERHILL,,,,,,,e6b6636a709a5e82
-117.7672519,33.7450341,32,HILLSDALE,,,,,,,a131cb886d641e7f
-117.7694189,33.7448741,77,ARDMORE,,,,,,,2c9a758b8bab8c35
-117.7677626,33.7445554,31,HILLSDALE,,,,,,,8b57fd1c597d1673
-117.768139,33.7441277,20,KIRKLAND,,,,,,,521d6345482d0f86
-117.7668213,33.7438442,5,KIRKLAND,,,,,,,67adab890427c472
-117.7696126,33.7437561,7,BELLEVUE,,,,,,,44b2953e0f3479ba
-117.768155,33.7431165,37,KENTWORTH,,,,,,,86c3e89614f632b4
-117.7711765,33.7428768,65,LINHAVEN,,,,,,,6b5ec842c08fface
-117.7678325,33.7429043,36,KENTWORTH,,,,,,,a3d82e1dfc8944e1
-117.7674796,33.7426646,6,APPLETON,,,,,,,3e0912b02ff25bf5
-117.7709725,33.7424094,85,LINHAVEN,,,,,,,d884a47884edc352
-117.7713878,33.7422415,84,LINHAVEN,,,,,,,d7ea3ed1d9e4b8df
-117.7696856,33.742235,38,BROOKHOLLOW,,,,,,,97b7e9f2a110d85f
-117.7691007,33.7418122,46,COPPERLEAF,,,,,,,5a240bc149e20dc6
-117.7725736,33.7415778,22,HIDDEN BROOK,,,,,,,18fe4630438f30eb
-117.7715451,33.7414599,11,ROBINS TREE LN,,,,,,,e06edb94afd088b9
-117.7683895,33.7413003,34,COPPERLEAF,,,,,,,1667350952fe8f89
-117.771373,33.7411389,8,ROBINS TREE LN,,,,,,,20659a92866dee2b
-117.7700239,33.7411351,62,COPPERLEAF,,,,,,,c5f6ec436bfb0a76
-117.7732858,33.7407737,20,ELIZABETH LN,,,,,,,54d303ff636f3f0a
-117.7731018,33.7406121,8,ELIZABETH LN,,,,,,,dd1334a4b2b78164
-117.772078,33.7402475,95,BRIAR LN,,,,,,,ea48fb84e7ed4392
-117.7725003,33.7401995,8,IVY LN,,,,,,,6e6c2bd5b7eef472
-117.7739441,33.7391116,20,TRADITION PL,,,,,,,79bf8c99a68ad96b
